"Gene","KEGG_ID"
"taes:123181082","taes:123181082"
"taes:123181807","taes:123181807"
"taes:123182718","taes:123182718"
"taes:123183216","taes:123183216"
"taes:123186578","taes:123186578"
"taes:123186692","taes:123186692"
"taes:123186940","taes:123186940"
"taes:123186971","taes:123186971"
"taes:123187089","taes:123187089"
"taes:123187295","taes:123187295"
"taes:123188104","taes:123188104"
"taes:123188416","taes:123188416"
"taes:123188780","taes:123188780"
"taes:123189063","taes:123189063"
"taes:123189229","taes:123189229"
"taes:123189536","taes:123189536"
"taes:123189737","taes:123189737"
"taes:542916","taes:542916"
"taes:543109","taes:543109"
"taes:543356","taes:543356"
"taes:100415821","taes:100415821"
"taes:123038959","taes:123038959"
"taes:123043402","taes:123043402"
"taes:123044269","taes:123044269"
"taes:123044403","taes:123044403"
"taes:123045208","taes:123045208"
"taes:123045718","taes:123045718"
"taes:123045808","taes:123045808"
"taes:123051272","taes:123051272"
"taes:123051323","taes:123051323"
"taes:123052150","taes:123052150"
"taes:123052694","taes:123052694"
"taes:123053042","taes:123053042"
"taes:123053591","taes:123053591"
"taes:123053692","taes:123053692"
"taes:123055711","taes:123055711"
"taes:123057722","taes:123057722"
"taes:123059824","taes:123059824"
"taes:123060374","taes:123060374"
"taes:123061675","taes:123061675"
"taes:123061968","taes:123061968"
"taes:123062712","taes:123062712"
"taes:123062806","taes:123062806"
"taes:123062809","taes:123062809"
"taes:123063182","taes:123063182"
"taes:123063668","taes:123063668"
"taes:123064785","taes:123064785"
"taes:123068905","taes:123068905"
"taes:123070294","taes:123070294"
"taes:123071530","taes:123071530"
"taes:123071650","taes:123071650"
"taes:123071651","taes:123071651"
"taes:123072083","taes:123072083"
"taes:123072619","taes:123072619"
"taes:123076846","taes:123076846"
"taes:123077433","taes:123077433"
"taes:123078745","taes:123078745"
"taes:123079080","taes:123079080"
"taes:123079870","taes:123079870"
"taes:123079984","taes:123079984"
"taes:123079989","taes:123079989"
"taes:123079991","taes:123079991"
"taes:123080172","taes:123080172"
"taes:123080370","taes:123080370"
"taes:123080729","taes:123080729"
"taes:123084428","taes:123084428"
"taes:123084787","taes:123084787"
"taes:123085711","taes:123085711"
"taes:123086572","taes:123086572"
"taes:123087100","taes:123087100"
"taes:123087974","taes:123087974"
"taes:123088174","taes:123088174"
"taes:123088326","taes:123088326"
"taes:123088329","taes:123088329"
"taes:123088402","taes:123088402"
"taes:123091418","taes:123091418"
"taes:123092298","taes:123092298"
"taes:123092638","taes:123092638"
"taes:123093298","taes:123093298"
"taes:123093984","taes:123093984"
"taes:123095877","taes:123095877"
"taes:123097637","taes:123097637"
"taes:123097948","taes:123097948"
"taes:123098569","taes:123098569"
"taes:123099182","taes:123099182"
"taes:123102428","taes:123102428"
"taes:123102614","taes:123102614"
"taes:123102769","taes:123102769"
"taes:123103887","taes:123103887"
"taes:123104030","taes:123104030"
"taes:123104304","taes:123104304"
"taes:123105261","taes:123105261"
"taes:123106145","taes:123106145"
"taes:123110593","taes:123110593"
"taes:123110798","taes:123110798"
"taes:123111000","taes:123111000"
"taes:123112116","taes:123112116"
"taes:123112261","taes:123112261"
"taes:123112560","taes:123112560"
"taes:123112790","taes:123112790"
"taes:123113519","taes:123113519"
"taes:123119629","taes:123119629"
"taes:123119796","taes:123119796"
"taes:123120002","taes:123120002"
"taes:123120752","taes:123120752"
"taes:123121647","taes:123121647"
"taes:123121778","taes:123121778"
"taes:123122059","taes:123122059"
"taes:123122268","taes:123122268"
"taes:123123050","taes:123123050"
"taes:123127609","taes:123127609"
"taes:123128178","taes:123128178"
"taes:123129788","taes:123129788"
"taes:123132013","taes:123132013"
"taes:123132469","taes:123132469"
"taes:123134859","taes:123134859"
"taes:123135816","taes:123135816"
"taes:123136001","taes:123136001"
"taes:123136536","taes:123136536"
"taes:123137379","taes:123137379"
"taes:123137988","taes:123137988"
"taes:123140845","taes:123140845"
"taes:123143347","taes:123143347"
"taes:123143548","taes:123143548"
"taes:123144047","taes:123144047"
"taes:123144722","taes:123144722"
"taes:123145278","taes:123145278"
"taes:123147368","taes:123147368"
"taes:123148234","taes:123148234"
"taes:123148462","taes:123148462"
"taes:123149262","taes:123149262"
"taes:123149506","taes:123149506"
"taes:123149986","taes:123149986"
"taes:123150036","taes:123150036"
"taes:123150192","taes:123150192"
"taes:123150564","taes:123150564"
"taes:123151599","taes:123151599"
"taes:123152381","taes:123152381"
"taes:123156552","taes:123156552"
"taes:123157039","taes:123157039"
"taes:123157791","taes:123157791"
"taes:123158545","taes:123158545"
"taes:123159009","taes:123159009"
"taes:123160623","taes:123160623"
"taes:123160787","taes:123160787"
"taes:123164284","taes:123164284"
"taes:123164678","taes:123164678"
"taes:123165449","taes:123165449"
"taes:123165497","taes:123165497"
"taes:123165514","taes:123165514"
"taes:123165545","taes:123165545"
"taes:123166304","taes:123166304"
"taes:123167365","taes:123167365"
"taes:123167778","taes:123167778"
"taes:123170226","taes:123170226"
"taes:123171571","taes:123171571"
"taes:123172285","taes:123172285"
"taes:123172561","taes:123172561"
"taes:123172564","taes:123172564"
"taes:123180029","taes:123180029"
"taes:123182160","taes:123182160"
"taes:123182164","taes:123182164"
"taes:123182687","taes:123182687"
"taes:123182795","taes:123182795"
"taes:123187235","taes:123187235"
"taes:123187500","taes:123187500"
"taes:123188007","taes:123188007"
"taes:123188135","taes:123188135"
"taes:123188559","taes:123188559"
"taes:123188952","taes:123188952"
"taes:123189489","taes:123189489"
"taes:542778","taes:542778"
"taes:542930","taes:542930"
"taes:543276","taes:543276"
"taes:543348","taes:543348"
"taes:543430","taes:543430"
"taes:780596","taes:780596"
"taes:780677","taes:780677"
"taes:123038994","taes:123038994"
"taes:123039328","taes:123039328"
"taes:123040524","taes:123040524"
"taes:123041485","taes:123041485"
"taes:123041593","taes:123041593"
"taes:123041777","taes:123041777"
"taes:123041778","taes:123041778"
"taes:123042122","taes:123042122"
"taes:123042126","taes:123042126"
"taes:123043123","taes:123043123"
"taes:123043487","taes:123043487"
"taes:123043641","taes:123043641"
"taes:123043716","taes:123043716"
"taes:123043781","taes:123043781"
"taes:123044028","taes:123044028"
"taes:123044251","taes:123044251"
"taes:123044722","taes:123044722"
"taes:123045948","taes:123045948"
"taes:123048910","taes:123048910"
"taes:123049467","taes:123049467"
"taes:123049739","taes:123049739"
"taes:123049740","taes:123049740"
"taes:123049742","taes:123049742"
"taes:123050076","taes:123050076"
"taes:123051018","taes:123051018"
"taes:123051348","taes:123051348"
"taes:123051443","taes:123051443"
"taes:123051517","taes:123051517"
"taes:123051576","taes:123051576"
"taes:123051637","taes:123051637"
"taes:123051903","taes:123051903"
"taes:123052130","taes:123052130"
"taes:123053297","taes:123053297"
"taes:123053816","taes:123053816"
"taes:123054639","taes:123054639"
"taes:123054982","taes:123054982"
"taes:123055882","taes:123055882"
"taes:123056567","taes:123056567"
"taes:123057287","taes:123057287"
"taes:123058061","taes:123058061"
"taes:123058241","taes:123058241"
"taes:123058392","taes:123058392"
"taes:123058727","taes:123058727"
"taes:123058749","taes:123058749"
"taes:123058756","taes:123058756"
"taes:123058761","taes:123058761"
"taes:123058789","taes:123058789"
"taes:123059493","taes:123059493"
